time	current	voltage
9326	95.4715473697	-53.2352400186
9327	95.4152908858	-53.2684245123
9328	95.3586953183	-53.3017922067
9329	95.3017608681	-53.3353438934
9330	95.2444877376	-53.3690803508
9331	95.1868761305	-53.403002344
9332	95.1289262513	-53.4371106243
9333	95.070638306	-53.4714059292
9334	95.0120125018	-53.5058889822
9335	94.9530490471	-53.5405604927
9336	94.8937481513	-53.5754211556
9337	94.8341100252	-53.6104716513
9338	94.7741348808	-53.6457126457
9339	94.7138229311	-53.6811447896
9340	94.6531743906	-53.7167687187
9341	94.5921894747	-53.7525850536
9342	94.5308684002	-53.7885943994
9343	94.4692113849	-53.8247973454
9344	94.4072186481	-53.8611944654
9345	94.34489041	-53.8977863172
9346	94.2822268922	-53.9345734422
9347	94.2192283172	-53.9715563658
9348	94.155894909	-54.0087355967
9349	94.0922268927	-54.046111627
9350	94.0282244945	-54.0836849318
9351	93.9638879419	-54.1214559695
9352	93.8992174635	-54.159425181
9353	93.8342132892	-54.19759299
9354	93.7688756499	-54.2359598027
9355	93.7032047778	-54.2745260073
9356	93.6372009064	-54.3132919746
9357	93.5708642701	-54.3522580569
9358	93.5041951047	-54.3914245885
9359	93.4371936473	-54.4307918854
9360	93.3698601357	-54.4703602449
9361	93.3021948094	-54.5101299458
9362	93.2341979089	-54.5501012478
9363	93.1658696757	-54.5902743917
9364	93.0972103527	-54.6306495992
9365	93.0282201838	-54.6712270727
9366	92.9588994144	-54.7120069948
9367	92.8892482906	-54.7529895289
9368	92.81926706	-54.7941748184
9369	92.7489559714	-54.8355629866
9370	92.6783152746	-54.8771541372
9371	92.6073452206	-54.9189483532
9372	92.5360460617	-54.9609456976
9373	92.4644180512	-55.0031462126
9374	92.3924614437	-55.0455499201
9375	92.3201764949	-55.0881568211
9376	92.2475634617	-55.1309668956
9377	92.1746226021	-55.1739801027
9378	92.1013541753	-55.2171963803
9379	92.0277584417	-55.2606156453
9380	91.953835663	-55.3042377928
9381	91.8795861017	-55.3480626967
9382	91.8050100217	-55.3920902093
9383	91.7301076881	-55.436320161
9384	91.654879367	-55.4807523605
9385	91.5793253259	-55.5253865946
9386	91.5034458331	-55.5702226281
9387	91.4272411584	-55.6152602035
9388	91.3507115725	-55.6604990414
9389	91.2738573475	-55.7059388398
9390	91.1966787564	-55.7515792745
9391	91.1191760736	-55.7974199989
9392	91.0413495744	-55.8434606436
9393	90.9631995355	-55.8897008169
9394	90.8847262345	-55.9361401043
9395	90.8059299503	-55.9827780684
9396	90.726810963	-56.0296142493
9397	90.6473695538	-56.0766481639
9398	90.5676060048	-56.1238793066
9399	90.4875205997	-56.1713071486
9400	90.407113623	-56.2189311379
9401	90.3263853605	-56.2667507
9402	90.245336099	-56.3147652368
9403	90.1639661266	-56.3629741274
9404	90.0822757324	-56.4113767277
9405	90.0002652069	-56.4599723704
9406	89.9179348413	-56.5087603652
9407	89.8352849283	-56.5577399984
9408	89.7523157616	-56.6069105333
9409	89.669027636	-56.6562712099
9410	89.5854208476	-56.7058212452
9411	89.5014956935	-56.7555598329
9412	89.4172524719	-56.8054861436
9413	89.3326914822	-56.8555993247
9414	89.2478130249	-56.9058985006
9415	89.1626174016	-56.9563827725
9416	89.0771049152	-57.0070512188
9417	88.9912758694	-57.0579028947
9418	88.9051305694	-57.1089368324
9419	88.8186693212	-57.1601520414
9420	88.7318924322	-57.2115475083
9421	88.6448002106	-57.2631221968
9422	88.5573929661	-57.314875048
9423	88.4696710092	-57.3668049803
